t,x,u
0.5,3.71327,0.953254
0.5,3.73425,0.939887
0.5,3.75523,0.926582
0.5,3.7762,0.91335
0.5,3.79718,0.900204
0.5,3.81816,0.887157
0.5,3.83914,0.874219
0.5,3.86012,0.861403
0.5,3.8811,0.848721
0.5,3.90208,0.836182
0.5,3.92306,0.823798
0.5,3.94404,0.811578
0.5,3.96502,0.799533
0.5,3.98599,0.787672
0.5,4.00697,0.776003
0.5,4.02795,0.764534
0.5,4.04893,0.753275
0.5,4.06991,0.742231
0.5,4.09089,0.73141
0.5,4.11187,0.720819
0.5,4.13285,0.710463
0.5,4.15383,0.700348
0.5,4.1748,0.690479
0.5,4.19578,0.68086
0.5,4.21676,0.671496
0.5,4.23774,0.66239
0.5,4.25872,0.653546
0.5,4.2797,0.644966
0.5,4.30068,0.636653
0.5,4.32166,0.628608
0.5,4.34264,0.620835
0.5,4.36361,0.613333
0.5,4.38459,0.606104
0.5,4.40557,0.599149
0.5,4.42655,0.592467
0.5,4.44753,0.58606
0.5,4.46851,0.579926
0.5,4.48949,0.574065
0.5,4.51047,0.568477
0.5,4.53145,0.563161
0.5,4.55242,0.558114
0.5,4.5734,0.553337
0.5,4.59438,0.548827
0.5,4.61536,0.544583
0.5,4.63634,0.540602
0.5,4.65732,0.536882
0.5,4.6783,0.533422
0.5,4.69928,0.530219
0.5,4.72026,0.527271
0.5,4.74123,0.524574
0.5,4.76221,0.522127
0.5,4.78319,0.519926
0.5,4.80417,0.517969
0.5,4.82515,0.516252
0.5,4.84613,0.514773
0.5,4.86711,0.513529
0.5,4.88809,0.512516
0.5,4.90907,0.511732
0.5,4.93005,0.511173
0.5,4.95102,0.510836
0.5,4.972,0.510717
0.5,4.99298,0.510815
0.5,5.01396,0.511125
0.5,5.03494,0.511643
0.5,5.05592,0.512368
0.5,5.0769,0.513295
0.5,5.09788,0.514422
0.5,5.11886,0.515744
0.5,5.13983,0.517259
0.5,5.16081,0.518964
0.5,5.18179,0.520854
0.5,5.20277,0.522928
0.5,5.22375,0.525181
0.5,5.24473,0.527611
0.5,5.26571,0.530214
0.5,5.28669,0.532987
0.5,5.30767,0.535928
0.5,5.32864,0.539032
0.5,5.34962,0.542297
0.5,5.3706,0.54572
0.5,5.39158,0.549297
0.5,5.41256,0.553027
0.5,5.43354,0.556904
0.5,5.45452,0.560928
0.5,5.4755,0.565094
0.5,5.49648,0.5694
0.5,5.51745,0.573843
0.5,5.53843,0.578421
0.5,5.55941,0.583129
0.5,5.58039,0.587966
0.5,5.60137,0.592929
0.5,5.62235,0.598014
0.5,5.64333,0.60322
0.5,5.66431,0.608543
0.5,5.68529,0.613982
0.5,5.70627,0.619532
0.5,5.72724,0.625192
0.5,5.74822,0.630959
0.5,5.7692,0.636831
0.5,5.79018,0.642805
0.5,5.81116,0.648878
0.5,5.83214,0.655048
0.5,5.85312,0.661313
0.5,5.8741,0.667669
0.5,5.89508,0.674116
0.5,5.91605,0.68065
0.5,5.93703,0.687268
0.5,5.95801,0.69397
0.5,5.97899,0.700751
0.5,5.99997,0.707611
0.5,6.02095,0.714546
0.5,6.04193,0.721555
0.5,6.06291,0.728635
0.5,6.08389,0.735784
0.5,6.10486,0.743
0.5,6.12584,0.750281
0.5,6.14682,0.757624
0.5,6.1678,0.765027
0.5,6.18878,0.772488
0.5,6.20976,0.780006
0.5,6.23074,0.787577
0.5,6.25172,0.795201
0.5,6.2727,0.802874
0.5,6.29367,0.810595
0.5,6.31465,0.818362
0.5,6.33563,0.826172
0.5,6.35661,0.834024
0.5,6.37759,0.841916
0.5,6.39857,0.849846
0.5,6.41955,0.857811
0.5,6.44053,0.86581
0.5,6.46151,0.87384
0.5,6.48249,0.881901
0.5,6.50346,0.889989
0.5,6.52444,0.898103
0.5,6.54542,0.906241
0.5,6.5664,0.914401
0.5,6.58738,0.922581
0.5,6.60836,0.93078
0.5,6.62934,0.938994
0.5,6.65032,0.947223
0.5,6.6713,0.955465
0.5,6.69227,0.963717
0.5,6.71325,0.971977
0.5,6.73423,0.980244
0.5,6.75521,0.988517
0.5,6.77619,0.996792
0.5,6.79717,1.00507
0.5,6.81815,1.01334
0.5,6.83913,1.02162
0.5,6.86011,1.02988
0.5,6.88108,1.03815
0.5,6.90206,1.0464
0.5,6.92304,1.05464
0.5,6.94402,1.06287
