t,x,u
0,1.94439,1.46551
0,1.94639,1.46515
0,1.94839,1.46478
0,1.95039,1.46441
0,1.95239,1.46404
0,1.95439,1.46366
0,1.95639,1.46329
0,1.95839,1.46291
0,1.96039,1.46253
0,1.96239,1.46215
0,1.96439,1.46177
0,1.96639,1.46138
0,1.96839,1.461
0,1.97039,1.46061
0,1.97239,1.46022
0,1.97439,1.45983
0,1.9764,1.45943
0,1.9784,1.45904
0,1.9804,1.45864
0,1.9824,1.45824
0,1.9844,1.45784
0,1.9864,1.45744
0,1.9884,1.45703
0,1.9904,1.45663
0,1.9924,1.45622
0,1.9944,1.45581
0,1.9964,1.45539
0,1.9984,1.45498
0,2.0004,1.45457
0,2.0024,1.45415
0,2.0044,1.45373
0,2.0064,1.45331
0,2.0084,1.45288
0,2.0104,1.45246
0,2.0124,1.45203
0,2.0144,1.4516
0,2.0164,1.45117
0,2.0184,1.45074
0,2.0204,1.45031
0,2.0224,1.44987
0,2.0244,1.44944
0,2.02641,1.449
0,2.02841,1.44856
0,2.03041,1.44811
0,2.03241,1.44767
0,2.03441,1.44722
0,2.03641,1.44677
0,2.03841,1.44632
0,2.04041,1.44587
0,2.04241,1.44542
0,2.04441,1.44496
0,2.04641,1.44451
0,2.04841,1.44405
0,2.05041,1.44359
0,2.05241,1.44312
0,2.05441,1.44266
0,2.05641,1.44219
0,2.05841,1.44173
0,2.06041,1.44126
0,2.06241,1.44079
0,2.06441,1.44031
0,2.06641,1.43984
0,2.06841,1.43936
0,2.07041,1.43888
0,2.07241,1.4384
0,2.07441,1.43792
0,2.07642,1.43744
0,2.07842,1.43695
0,2.08042,1.43647
0,2.08242,1.43598
0,2.08442,1.43549
0,2.08642,1.43499
0,2.08842,1.4345
0,2.09042,1.434
0,2.09242,1.43351
0,2.09442,1.43301
0,2.09642,1.43251
0,2.09842,1.432
0,2.10042,1.4315
0,2.10242,1.43099
0,2.10442,1.43048
0,2.10642,1.42997
0,2.10842,1.42946
0,2.11042,1.42895
0,2.11242,1.42844
0,2.11442,1.42792
0,2.11642,1.4274
0,2.11842,1.42688
0,2.12042,1.42636
0,2.12242,1.42584
0,2.12442,1.42531
0,2.12643,1.42478
0,2.12843,1.42426
0,2.13043,1.42373
0,2.13243,1.42319
0,2.13443,1.42266
0,2.13643,1.42213
0,2.13843,1.42159
0,2.14043,1.42105
0,2.14243,1.42051
0,2.14443,1.41997
0,2.14643,1.41942
0,2.14843,1.41888
0,2.15043,1.41833
0,2.15243,1.41778
0,2.15443,1.41723
0,2.15643,1.41668
0,2.15843,1.41613
0,2.16043,1.41557
0,2.16243,1.41501
0,2.16443,1.41446
0,2.16643,1.4139
0,2.16843,1.41333
0,2.17043,1.41277
0,2.17243,1.4122
0,2.17443,1.41164
0,2.17644,1.41107
0,2.17844,1.4105
0,2.18044,1.40993
0,2.18244,1.40935
0,2.18444,1.40878
0,2.18644,1.4082
0,2.18844,1.40762
0,2.19044,1.40704
0,2.19244,1.40646
0,2.19444,1.40588
0,2.19644,1.40529
0,2.19844,1.40471
0,2.20044,1.40412
0,2.20244,1.40353
0,2.20444,1.40294
0,2.20644,1.40234
0,2.20844,1.40175
0,2.21044,1.40115
0,2.21244,1.40056
0,2.21444,1.39996
0,2.21644,1.39936
0,2.21844,1.39875
0,2.22044,1.39815
0,2.22244,1.39754
0,2.22444,1.39694
0,2.22645,1.39633
0,2.22845,1.39572
0,2.23045,1.3951
0,2.23245,1.39449
0,2.23445,1.39387
0,2.23645,1.39326
0,2.23845,1.39264
0,2.24045,1.39202
0,2.24245,1.3914
0,2.24445,1.39077
